Latitude (decimal degrees):	28.482
Longitude (decimal degrees):	-16.306
Elevation (m):	503
Radiation database:	PVGIS-SARAH3


Slope: 26 deg. (optimum)
Azimuth: -1 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	5.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230306:2009,0.0,0.0,0.0,17.75,3.31,0.0
20230306:2109,0.0,0.0,0.0,17.83,3.17,0.0
20230306:2209,0.0,0.0,0.0,18.16,1.52,0.0
20230306:2309,0.0,0.0,0.0,18.14,1.45,0.0
20230307:0009,0.0,0.0,0.0,18.09,1.79,0.0
20230307:0109,0.0,0.0,0.0,18.01,2.07,0.0
20230307:0209,0.0,0.0,0.0,17.92,1.93,0.0
20230307:0309,0.0,0.0,0.0,17.79,1.45,0.0
20230307:0409,0.0,0.0,0.0,17.58,0.83,0.0
20230307:0509,0.0,0.0,0.0,17.51,0.55,0.0
20230307:0609,0.0,0.0,0.0,17.56,0.55,0.0
20230307:0709,0.0,0.0,0.0,17.51,0.76,0.0
20230307:0809,459.15,144.52,8.84,17.49,1.52,0.0
20230307:0909,1687.7,427.33,21.57,17.58,2.0,0.0
20230307:1009,2133.3,530.73,33.61,17.83,2.21,0.0
20230307:1109,2583.7,645.83,44.32,17.96,2.48,0.0
20230307:1209,2249.4,561.63,52.5,17.97,2.69,0.0
20230307:1309,3155.7,794.38,56.19,17.9,3.1,0.0
20230307:1409,4106.45,1046.64,53.98,17.8,3.59,0.0
20230307:1509,3832.15,963.93,46.77,17.85,3.86,0.0
20230307:1609,3048.2,753.38,36.57,17.89,3.93,0.0
20230307:1709,2036.7,506.33,24.8,17.9,3.86,0.0
20230307:1809,761.45,218.33,12.21,17.92,3.59,0.0
20230307:1909,0.0,0.0,0.0,17.94,3.31,0.0
20230307:2009,0.0,0.0,0.0,17.98,2.9,0.0
20230307:2109,0.0,0.0,0.0,18.03,2.62,0.0
20230307:2209,0.0,0.0,0.0,18.22,2.14,0.0
20230307:2309,0.0,0.0,0.0,18.22,2.28,0.0
20230308:0009,0.0,0.0,0.0,18.14,2.34,0.0
20230308:0109,0.0,0.0,0.0,18.07,2.28,0.0
20230308:0209,0.0,0.0,0.0,17.94,2.28,0.0
20230308:0309,0.0,0.0,0.0,17.78,2.21,0.0
20230308:0409,0.0,0.0,0.0,17.69,2.07,0.0
20230308:0509,0.0,0.0,0.0,17.48,1.79,0.0
20230308:0609,0.0,0.0,0.0,17.51,1.93,0.0
20230308:0709,0.0,0.0,0.0,17.37,1.72,0.0
20230308:0809,503.15,157.43,9.08,17.37,1.93,0.0
20230308:0909,1721.1,433.82,21.83,17.62,2.69,0.0
20230308:1009,2769.5,691.55,33.9,18.13,2.55,0.0
20230308:1109,3552.1,897.64,44.66,18.33,3.1,0.0
20230308:1209,3993.5,1020.79,52.88,18.25,3.31,0.0
20230308:1309,4287.0,1097.95,56.58,18.1,3.79,0.0
20230308:1409,4263.6,1081.25,54.33,17.91,4.34,0.0
20230308:1509,3793.15,947.93,47.05,17.88,4.41,0.0
20230308:1609,3065.0,755.98,36.79,17.98,4.28,0.0
20230308:1709,2020.85,502.35,24.97,18.03,4.0,0.0
20230308:1809,553.5,158.68,12.36,18.08,3.59,0.0
20230308:1909,0.0,0.0,0.0,18.14,3.17,0.0
20230308:2009,0.0,0.0,0.0,18.22,2.97,0.0
20230308:2109,0.0,0.0,0.0,18.38,3.1,0.0
20230308:2209,0.0,0.0,0.0,17.95,3.17,0.0
20230308:2309,0.0,0.0,0.0,17.89,3.59,0.0
20230309:0009,0.0,0.0,0.0,17.82,3.52,0.0
20230309:0109,0.0,0.0,0.0,17.75,3.45,0.0
20230309:0209,0.0,0.0,0.0,17.7,3.31,0.0
20230309:0309,0.0,0.0,0.0,17.73,3.24,0.0
20230309:0409,0.0,0.0,0.0,17.75,3.59,0.0
20230309:0509,0.0,0.0,0.0,17.81,3.93,0.0
20230309:0609,0.0,0.0,0.0,17.9,4.21,0.0
20230309:0709,0.0,0.0,0.0,17.99,4.62,0.0
20230309:0809,395.05,122.75,9.33,18.14,4.69,0.0
20230309:0909,1300.9,327.89,22.1,18.34,4.97,0.0
20230309:1009,2294.1,564.55,34.2,18.48,4.34,0.0
20230309:1109,3405.75,847.12,44.99,18.55,4.55,0.0
20230309:1209,3316.2,827.52,53.26,18.57,4.55,0.0
20230309:1309,4248.4,1080.43,56.98,18.57,4.48,0.0
20230309:1409,4195.9,1063.92,54.68,18.59,4.55,0.0
20230309:1509,3819.8,959.13,47.32,18.64,4.41,0.0
20230309:1609,3071.35,761.09,37.0,18.64,4.14,0.0
20230309:1709,2034.0,506.67,25.14,18.58,4.14,0.0
20230309:1809,791.35,227.23,12.5,18.58,4.28,0.0
20230309:1909,0.0,0.0,0.0,18.55,3.93,0.0
20230309:2009,0.0,0.0,0.0,18.54,3.79,0.0
20230309:2109,0.0,0.0,0.0,18.61,4.07,0.0
20230309:2209,0.0,0.0,0.0,18.81,4.83,0.0
20230309:2309,0.0,0.0,0.0,18.7,4.41,0.0
20230310:0009,0.0,0.0,0.0,18.6,4.14,0.0
20230310:0109,0.0,0.0,0.0,18.52,3.66,0.0
20230310:0209,0.0,0.0,0.0,18.47,3.59,0.0
20230310:0309,0.0,0.0,0.0,18.49,3.93,0.0
20230310:0409,0.0,0.0,0.0,18.5,4.48,0.0
20230310:0509,0.0,0.0,0.0,18.55,5.17,0.0
20230310:0609,0.0,0.0,0.0,18.56,5.52,0.0
20230310:0709,0.0,0.0,0.0,18.61,5.45,0.0
20230310:0809,363.35,112.88,9.58,18.65,5.1,0.0
20230310:0909,1246.55,315.44,22.36,18.72,4.76,0.0
20230310:1009,2732.85,673.51,34.49,18.46,4.28,0.0
20230310:1109,3554.15,896.83,45.33,18.47,3.31,0.0
20230310:1209,4028.7,1030.57,53.64,18.52,3.45,0.0
20230310:1309,4367.9,1126.37,57.37,18.52,3.66,0.0
20230310:1409,4231.3,1089.21,55.02,18.55,3.45,0.0
20230310:1509,3745.7,955.03,47.59,18.55,2.97,0.0
20230310:1609,3000.5,753.15,37.21,18.64,2.69,0.0
20230310:1709,2025.6,510.01,25.31,18.77,2.55,0.0
20230310:1809,781.5,225.94,12.65,18.83,2.48,0.0
20230310:1909,0.0,0.0,0.0,18.87,2.41,0.0
20230310:2009,0.0,0.0,0.0,18.93,2.48,0.0
20230310:2109,0.0,0.0,0.0,19.0,2.55,0.0
20230310:2209,0.0,0.0,0.0,18.89,2.9,0.0
20230310:2309,0.0,0.0,0.0,18.74,2.55,0.0
20230311:0009,0.0,0.0,0.0,18.63,2.83,0.0
20230311:0109,0.0,0.0,0.0,18.48,3.31,0.0
20230311:0209,0.0,0.0,0.0,18.39,3.52,0.0
20230311:0309,0.0,0.0,0.0,18.34,3.66,0.0
20230311:0409,0.0,0.0,0.0,18.24,3.79,0.0
20230311:0509,0.0,0.0,0.0,18.19,3.59,0.0
20230311:0609,0.0,0.0,0.0,18.17,3.31,0.0
20230311:0709,0.0,0.0,0.0,18.18,3.03,0.0
20230311:0809,563.9,174.33,9.83,18.26,2.76,0.0
20230311:0909,1791.35,452.56,22.63,18.4,2.76,0.0
20230311:1009,2885.85,720.36,34.79,18.58,3.03,0.0
20230311:1109,3576.6,918.53,45.67,18.69,2.21,0.0
20230311:1209,4037.45,1049.07,54.02,18.67,2.55,0.0
20230311:1309,4308.4,1113.94,57.77,18.66,3.45,0.0
20230311:1409,4258.0,1089.56,55.37,18.66,4.0,0.0
20230311:1509,3791.1,954.4,47.86,18.63,4.14,0.0
20230311:1609,3031.9,752.77,37.42,18.61,3.86,0.0
20230311:1709,2018.4,504.55,25.48,18.65,3.59,0.0
20230311:1809,787.5,226.68,12.79,18.7,3.31,0.0
20230311:1909,0.0,0.0,0.0,18.76,2.76,0.0
20230311:2009,0.0,0.0,0.0,18.84,2.21,0.0
20230311:2109,0.0,0.0,0.0,18.89,2.21,0.0
20230311:2209,0.0,0.0,0.0,18.75,1.72,0.0
20230311:2309,0.0,0.0,0.0,18.84,0.9,0.0
20230312:0009,0.0,0.0,0.0,18.86,1.66,0.0
20230312:0109,0.0,0.0,0.0,18.78,2.07,0.0
20230312:0209,0.0,0.0,0.0,18.78,1.86,0.0
20230312:0309,0.0,0.0,0.0,18.83,1.79,0.0
20230312:0409,0.0,0.0,0.0,18.92,1.72,0.0
20230312:0509,0.0,0.0,0.0,18.98,1.72,0.0
20230312:0609,0.0,0.0,0.0,18.93,1.52,0.0
20230312:0709,0.0,0.0,0.0,19.0,0.9,0.0
20230312:0809,578.05,180.27,10.08,19.27,0.28,0.0
20230312:0909,1610.35,416.86,22.9,19.63,0.34,0.0
20230312:1009,2805.95,725.33,35.09,19.45,0.69,0.0
20230312:1109,3543.75,929.76,46.01,19.66,1.31,0.0
20230312:1209,4132.35,1090.66,54.4,19.67,2.21,0.0
20230312:1309,3982.8,1050.87,58.16,19.9,2.14,0.0
20230312:1409,4105.05,1081.5,55.71,20.16,2.41,0.0
20230312:1509,3699.65,942.44,48.13,20.17,3.66,0.0
20230312:1609,3041.95,756.55,37.62,19.99,4.55,0.0
20230312:1709,2045.35,510.2,25.65,19.67,5.03,0.0
20230312:1809,807.0,232.54,12.93,19.37,5.1,0.0
20230312:1909,0.0,0.0,0.0,19.19,4.48,0.0
20230312:2009,0.0,0.0,0.0,19.36,3.79,0.0
20230312:2109,0.0,0.0,0.0,19.57,3.79,0.0
20230312:2209,0.0,0.0,0.0,19.44,2.97,0.0
20230312:2309,0.0,0.0,0.0,19.25,2.9,0.0
20230313:0009,0.0,0.0,0.0,19.11,3.59,0.0
20230313:0109,0.0,0.0,0.0,18.92,4.21,0.0
20230313:0209,0.0,0.0,0.0,18.7,4.62,0.0
20230313:0309,0.0,0.0,0.0,18.42,5.45,0.0
20230313:0409,0.0,0.0,0.0,18.07,5.72,0.0
20230313:0509,0.0,0.0,0.0,17.84,5.45,0.0
20230313:0609,0.0,0.0,0.0,17.81,4.9,0.0
20230313:0709,0.0,0.0,0.0,17.77,4.48,0.0
20230313:0809,550.8,167.39,10.34,17.72,3.93,0.0
20230313:0909,1795.55,449.93,23.17,17.73,3.52,0.0
20230313:1009,2041.55,504.78,35.39,17.85,3.24,0.0
20230313:1109,3571.55,896.29,46.35,17.96,3.66,0.0
20230313:1209,4142.2,1048.36,54.79,18.01,4.34,0.0
20230313:1309,4374.45,1110.76,58.56,18.06,4.69,0.0
20230313:1409,4279.2,1080.07,56.05,18.13,4.97,0.0
20230313:1509,3826.45,956.57,48.39,18.22,4.69,0.0
20230313:1609,2971.15,731.54,37.83,18.31,4.69,0.0
20230313:1709,1726.5,429.56,25.81,18.29,4.48,0.0
20230313:1809,744.15,212.88,13.07,18.29,3.93,0.0
20230313:1909,0.0,0.0,0.0,18.27,3.59,0.0
20230313:2009,0.0,0.0,0.0,18.18,3.66,0.0
20230313:2109,0.0,0.0,0.0,18.18,3.72,0.0
20230313:2209,0.0,0.0,0.0,17.92,4.41,0.0
20230313:2309,0.0,0.0,0.0,17.83,3.45,0.0
20230314:0009,0.0,0.0,0.0,17.74,3.03,0.0
20230314:0109,0.0,0.0,0.0,17.64,3.1,0.0
20230314:0209,0.0,0.0,0.0,17.57,2.97,0.0
20230314:0309,0.0,0.0,0.0,17.57,2.83,0.0
20230314:0409,0.0,0.0,0.0,17.54,2.76,0.0
20230314:0509,0.0,0.0,0.0,17.51,2.83,0.0
20230314:0609,0.0,0.0,0.0,17.5,3.17,0.0
20230314:0709,0.0,0.0,0.0,17.45,3.38,0.0
20230314:0809,624.3,189.53,10.59,17.46,3.52,0.0
20230314:0909,1809.85,452.91,23.44,17.6,3.59,0.0
20230314:1009,2929.55,724.99,35.68,17.98,3.72,0.0
20230314:1109,3630.55,922.64,46.69,18.16,2.83,0.0
20230314:1209,4107.7,1063.28,55.17,18.19,2.76,0.0
20230314:1309,4336.2,1120.38,58.96,18.17,3.38,0.0
20230314:1409,4242.1,1088.41,56.39,18.16,3.59,0.0
20230314:1509,3773.5,952.57,48.66,18.16,3.66,0.0
20230314:1609,3080.9,764.46,38.03,18.2,3.79,0.0
20230314:1709,2025.3,504.44,25.97,18.22,3.93,0.0
20230314:1809,811.8,233.45,13.21,18.19,3.79,0.0
20230314:1909,0.0,0.0,0.0,18.11,3.52,0.0
20230314:2009,0.0,0.0,0.0,18.06,3.1,0.0
20230314:2109,0.0,0.0,0.0,18.02,3.03,0.0
20230314:2209,0.0,0.0,0.0,18.13,3.38,0.0
20230314:2309,0.0,0.0,0.0,18.0,2.9,0.0
20230315:0009,0.0,0.0,0.0,17.87,2.48,0.0
20230315:0109,0.0,0.0,0.0,17.7,2.14,0.0
20230315:0209,0.0,0.0,0.0,17.58,2.14,0.0
20230315:0309,0.0,0.0,0.0,17.44,2.41,0.0
20230315:0409,0.0,0.0,0.0,17.33,2.62,0.0
20230315:0509,0.0,0.0,0.0,17.21,2.69,0.0
20230315:0609,0.0,0.0,0.0,17.19,2.83,0.0
20230315:0709,0.0,0.0,0.0,17.12,3.03,0.0
20230315:0809,539.55,162.32,10.85,17.08,3.1,0.0
20230315:0909,1712.7,428.94,23.72,17.13,2.97,0.0
20230315:1009,2848.75,708.34,35.98,17.15,2.62,0.0
20230315:1109,3651.2,916.74,47.03,17.22,3.38,0.0
20230315:1209,4212.05,1073.72,55.56,17.29,3.59,0.0
20230315:1309,4357.4,1111.99,59.36,17.37,3.93,0.0
20230315:1409,4215.15,1067.65,56.73,17.53,4.21,0.0
20230315:1509,3036.1,751.97,48.91,17.63,4.14,0.0
20230315:1609,1496.8,371.92,38.23,17.66,4.07,0.0
20230315:1709,1950.6,484.12,26.13,17.63,4.07,0.0
20230315:1809,704.35,200.79,13.35,17.6,3.79,0.0
20230315:1909,0.0,0.0,0.0,17.66,3.52,0.0
20230315:2009,0.0,0.0,0.0,17.8,3.24,0.0
20230315:2109,0.0,0.0,0.0,17.99,3.45,0.0
20230315:2209,0.0,0.0,0.0,17.95,2.14,0.0
20230315:2309,0.0,0.0,0.0,17.8,3.03,0.0
20230316:0009,0.0,0.0,0.0,17.67,3.86,0.0
20230316:0109,0.0,0.0,0.0,17.57,4.28,0.0
20230316:0209,0.0,0.0,0.0,17.47,4.69,0.0
20230316:0309,0.0,0.0,0.0,17.34,4.62,0.0
20230316:0409,0.0,0.0,0.0,17.27,4.14,0.0
20230316:0509,0.0,0.0,0.0,17.21,3.59,0.0
20230316:0609,0.0,0.0,0.0,17.27,3.52,0.0
20230316:0709,0.0,0.0,0.0,17.41,3.93,0.0
20230316:0809,626.25,188.92,11.11,17.51,4.41,0.0
20230316:0909,1854.45,461.45,23.99,17.55,4.62,0.0
20230316:1009,2875.9,710.25,36.28,17.48,3.52,0.0
20230316:1109,3653.55,918.46,47.37,17.51,3.38,0.0
20230316:1209,4172.4,1063.91,55.95,17.6,3.59,0.0
20230316:1309,4284.5,1095.97,59.75,17.69,3.72,0.0
20230316:1409,4120.5,1045.53,57.07,17.72,3.93,0.0
20230316:1509,3678.65,913.24,49.17,17.77,4.83,0.0
20230316:1609,2636.15,642.6,38.42,17.85,5.72,0.0
20230316:1709,1506.3,373.73,26.29,17.99,6.28,0.0
20230316:1809,207.9,66.47,13.48,18.09,6.55,0.0
20230316:1909,0.0,0.0,0.0,18.2,7.1,0.0
20230316:2009,0.0,0.0,0.0,18.33,7.38,0.0
20230316:2109,0.0,0.0,0.0,18.4,6.83,0.0
20230316:2209,0.0,0.0,0.0,18.53,4.83,0.0
20230316:2309,0.0,0.0,0.0,18.52,4.14,0.0
20230317:0009,0.0,0.0,0.0,18.52,4.83,0.0
20230317:0109,0.0,0.0,0.0,18.48,5.66,0.0
20230317:0209,0.0,0.0,0.0,18.44,5.93,0.0
20230317:0309,0.0,0.0,0.0,18.43,5.79,0.0
20230317:0409,0.0,0.0,0.0,18.16,5.72,0.0
20230317:0509,0.0,0.0,0.0,18.15,6.0,0.0
20230317:0609,0.0,0.0,0.0,18.01,6.21,0.0
20230317:0709,0.0,0.0,0.0,18.04,6.62,0.0
20230317:0809,343.1,103.56,11.36,18.1,6.62,0.0
20230317:0909,757.4,197.29,24.26,18.01,7.24,0.0
20230317:1009,1934.25,470.32,36.58,18.27,8.76,0.0
20230317:1109,2845.65,689.53,47.71,18.19,8.48,0.0
20230317:1209,4037.6,989.12,56.33,18.16,8.34,0.0
20230317:1309,4362.5,1075.99,60.15,17.9,7.86,0.0
20230317:1409,3962.85,973.26,57.41,17.79,7.52,0.0
20230317:1509,3237.65,787.15,49.43,17.69,7.45,0.0
20230317:1609,2365.8,572.94,38.61,17.58,7.24,0.0
20230317:1709,1050.4,265.15,26.44,17.53,7.03,0.0
20230317:1809,734.6,209.29,13.61,17.44,7.17,0.0
20230317:1909,0.0,0.0,0.0,17.34,7.45,0.0
20230317:2009,0.0,0.0,0.0,17.25,6.9,0.0
20230317:2109,0.0,0.0,0.0,17.19,6.21,0.0
20230317:2209,0.0,0.0,0.0,16.97,6.21,0.0
20230317:2309,0.0,0.0,0.0,16.92,5.31,0.0
20230318:0009,0.0,0.0,0.0,16.81,5.79,0.0
20230318:0109,0.0,0.0,0.0,16.7,6.14,0.0
20230318:0209,0.0,0.0,0.0,16.71,5.52,0.0
20230318:0309,0.0,0.0,0.0,16.62,5.17,0.0
20230318:0409,0.0,0.0,0.0,16.41,6.21,0.0
20230318:0509,0.0,0.0,0.0,16.49,7.66,0.0
20230318:0609,0.0,0.0,0.0,16.59,7.66,0.0
20230318:0709,0.0,0.0,0.0,16.68,5.66,0.0
20230318:0809,662.8,197.84,11.62,16.72,4.21,0.0
20230318:0909,1481.5,367.85,24.54,16.79,5.24,0.0
20230318:1009,1330.4,329.54,36.88,17.02,6.34,0.0
20230318:1109,2897.85,705.04,48.05,17.12,6.34,0.0
20230318:1209,3221.7,787.68,56.72,17.18,6.55,0.0
20230318:1309,3841.1,948.48,60.55,17.28,6.34,0.0
20230318:1409,4244.45,1054.85,57.75,17.39,6.07,0.0
20230318:1509,3802.55,937.98,49.68,17.53,5.72,0.0
20230318:1609,3071.0,747.75,38.8,17.62,6.0,0.0
20230318:1709,1999.45,491.57,26.59,17.64,6.55,0.0
20230318:1809,755.9,215.92,13.75,17.66,6.55,0.0
20230318:1909,0.0,0.0,0.0,17.75,6.76,0.0
20230318:2009,0.0,0.0,0.0,17.83,6.83,0.0
20230318:2109,0.0,0.0,0.0,17.97,6.62,0.0
20230318:2209,0.0,0.0,0.0,17.92,7.1,0.0
20230318:2309,0.0,0.0,0.0,17.84,7.1,0.0
20230319:0009,0.0,0.0,0.0,17.74,6.9,0.0
20230319:0109,0.0,0.0,0.0,17.68,6.62,0.0
20230319:0209,0.0,0.0,0.0,17.51,6.62,0.0
20230319:0309,0.0,0.0,0.0,17.3,6.62,0.0
20230319:0409,0.0,0.0,0.0,17.15,6.55,0.0
20230319:0509,0.0,0.0,0.0,17.12,6.62,0.0
20230319:0609,0.0,0.0,0.0,17.04,6.62,0.0
20230319:0709,0.0,0.0,0.0,16.96,6.48,0.0
20230319:0809,543.0,159.5,11.88,16.86,6.21,0.0
20230319:0909,1434.9,355.98,24.81,16.83,6.0,0.0
20230319:1009,2886.4,698.75,37.18,16.77,6.0,0.0
20230319:1109,3656.45,896.5,48.39,16.8,5.66,0.0
20230319:1209,4314.45,1072.76,57.11,16.88,5.79,0.0
20230319:1309,4369.8,1090.56,60.95,16.98,5.72,0.0
20230319:1409,4240.3,1057.56,58.08,17.09,5.45,0.0
20230319:1509,3791.35,934.65,49.93,17.08,5.45,0.0
20230319:1609,3003.9,730.98,38.99,17.1,5.52,0.0
20230319:1709,1950.25,479.81,26.74,17.03,5.59,0.0
20230319:1809,614.85,174.02,13.88,17.02,5.38,0.0
20230319:1909,0.0,0.0,0.0,17.08,5.24,0.0
20230319:2009,0.0,0.0,0.0,17.1,5.1,0.0
20230319:2109,0.0,0.0,0.0,17.15,5.31,0.0
20230319:2209,0.0,0.0,0.0,16.94,5.1,0.0
20230319:2309,0.0,0.0,0.0,16.93,5.1,0.0
20230320:0009,0.0,0.0,0.0,16.87,5.93,0.0
20230320:0109,0.0,0.0,0.0,16.91,6.0,0.0
20230320:0209,0.0,0.0,0.0,16.9,5.66,0.0
20230320:0309,0.0,0.0,0.0,16.91,5.45,0.0
20230320:0409,0.0,0.0,0.0,16.86,5.45,0.0
20230320:0509,0.0,0.0,0.0,16.85,5.59,0.0
20230320:0609,0.0,0.0,0.0,16.77,5.52,0.0
20230320:0709,0.0,0.0,0.0,16.76,5.24,0.0
20230320:0809,687.4,203.65,12.14,16.82,4.83,0.0
20230320:0909,1934.3,479.14,25.08,16.89,4.62,0.0
20230320:1009,2965.0,723.96,37.48,16.95,4.83,0.0
20230320:1109,3729.8,921.22,48.73,17.01,5.03,0.0
20230320:1209,4286.8,1069.77,57.5,17.02,5.45,0.0
20230320:1309,4425.2,1105.89,61.35,16.97,5.72,0.0
20230320:1409,4247.55,1054.54,58.41,16.95,5.93,0.0
20230320:1509,3866.55,947.62,50.17,16.87,6.28,0.0
20230320:1609,3071.3,741.92,39.18,16.81,6.76,0.0
20230320:1709,2029.75,496.41,26.89,16.85,7.1,0.0
20230320:1809,766.9,218.82,14.01,16.89,6.97,0.0
20230320:1909,0.0,0.0,0.0,16.89,6.55,0.0
20230320:2009,0.0,0.0,0.0,16.98,6.34,0.0
20230320:2109,0.0,0.0,0.0,17.1,6.55,0.0
20230320:2209,0.0,0.0,0.0,17.01,6.41,0.0
20230320:2309,0.0,0.0,0.0,17.04,5.79,0.0
20230321:0009,0.0,0.0,0.0,17.13,6.0,0.0
20230321:0109,0.0,0.0,0.0,17.22,6.14,0.0
20230321:0209,0.0,0.0,0.0,17.26,6.07,0.0
20230321:0309,0.0,0.0,0.0,17.36,5.66,0.0
20230321:0409,0.0,0.0,0.0,17.46,5.24,0.0
20230321:0509,0.0,0.0,0.0,17.51,5.1,0.0
20230321:0609,0.0,0.0,0.0,17.52,5.17,0.0
20230321:0709,0.0,0.0,0.0,17.5,5.72,0.0
20230321:0809,0.0,0.0,0.0,17.53,6.28,0.0
20230321:0909,1982.25,488.27,25.36,17.51,6.9,0.0
20230321:1009,2937.1,712.68,37.78,17.44,6.28,0.0
20230321:1109,3713.95,911.24,49.07,17.51,6.21,0.0
20230321:1209,4266.25,1058.54,57.88,17.58,6.41,0.0
20230321:1309,4387.5,1092.36,61.74,17.55,6.41,0.0
20230321:1409,4289.6,1065.41,58.74,17.55,6.34,0.0
20230321:1509,3809.45,935.5,50.42,17.53,6.34,0.0
20230321:1609,3064.8,744.55,39.36,17.55,6.34,0.0
20230321:1709,1998.8,492.1,27.04,17.6,6.21,0.0
20230321:1809,611.6,173.2,14.13,17.66,5.93,0.0
20230321:1909,0.0,0.0,0.0,17.67,6.07,0.0
20230321:2009,0.0,0.0,0.0,17.67,6.48,0.0
20230321:2109,0.0,0.0,0.0,17.66,6.97,0.0
20230321:2209,0.0,0.0,0.0,17.84,7.52,0.0
20230321:2309,0.0,0.0,0.0,17.78,6.69,0.0
20230322:0009,0.0,0.0,0.0,17.63,6.55,0.0
20230322:0109,0.0,0.0,0.0,17.56,6.55,0.0
20230322:0209,0.0,0.0,0.0,17.49,6.62,0.0
20230322:0309,0.0,0.0,0.0,17.46,6.41,0.0
20230322:0409,0.0,0.0,0.0,17.42,6.34,0.0
20230322:0509,0.0,0.0,0.0,17.54,6.07,0.0
20230322:0609,0.0,0.0,0.0,17.54,5.79,0.0
20230322:0709,0.0,0.0,0.0,17.7,5.45,0.0
20230322:0809,700.45,206.88,12.66,17.6,5.45,0.0
20230322:0909,1854.65,459.38,25.63,17.7,5.52,0.0
20230322:1009,2949.0,721.74,38.08,17.67,4.97,0.0
20230322:1109,3677.2,916.39,49.41,17.73,4.34,0.0
20230322:1209,4301.65,1080.31,58.27,17.83,5.24,0.0
20230322:1309,4361.4,1091.34,62.14,17.87,5.93,0.0
20230322:1409,4167.15,1039.04,59.07,17.9,5.79,0.0
20230322:1509,3692.1,912.62,50.66,17.99,5.52,0.0
20230322:1609,2883.15,707.83,39.54,18.04,4.76,0.0
20230322:1709,1876.85,466.6,27.18,18.01,4.34,0.0
20230322:1809,719.3,206.67,14.26,17.97,4.14,0.0
20230322:1909,0.0,0.0,0.0,17.93,4.14,0.0
20230322:2009,0.0,0.0,0.0,17.91,4.41,0.0
20230322:2109,0.0,0.0,0.0,17.92,4.69,0.0
20230322:2209,0.0,0.0,0.0,18.01,5.45,0.0
20230322:2309,0.0,0.0,0.0,17.94,4.48,0.0
20230323:0009,0.0,0.0,0.0,17.84,3.93,0.0
20230323:0109,0.0,0.0,0.0,17.69,3.52,0.0
20230323:0209,0.0,0.0,0.0,17.59,3.45,0.0
20230323:0309,0.0,0.0,0.0,17.54,3.1,0.0
20230323:0409,0.0,0.0,0.0,17.52,3.31,0.0
20230323:0509,0.0,0.0,0.0,17.5,3.93,0.0
20230323:0609,0.0,0.0,0.0,17.46,3.79,0.0
20230323:0709,0.0,0.0,0.0,17.56,3.1,0.0
20230323:0809,665.35,196.24,12.92,17.73,3.1,0.0
20230323:0909,1849.0,462.69,25.9,17.79,3.24,0.0
20230323:1009,2919.35,720.87,38.38,17.72,3.72,0.0
20230323:1109,3663.45,925.19,49.75,17.69,3.1,0.0
20230323:1209,4243.45,1071.92,58.66,17.68,4.48,0.0
20230323:1309,4334.05,1089.09,62.54,17.71,5.31,0.0
20230323:1409,4162.45,1047.78,59.4,17.76,4.69,0.0
20230323:1509,3655.9,914.44,50.9,17.83,4.0,0.0
20230323:1609,2871.55,709.06,39.72,17.9,3.79,0.0
20230323:1709,1868.5,464.19,27.33,17.95,4.48,0.0
20230323:1809,723.65,208.3,14.38,18.04,4.69,0.0
20230323:1909,0.0,0.0,0.0,18.16,4.55,0.0
20230323:2009,0.0,0.0,0.0,18.22,4.69,0.0
20230323:2109,0.0,0.0,0.0,18.2,4.69,0.0
20230323:2209,0.0,0.0,0.0,17.88,4.14,0.0
20230323:2309,0.0,0.0,0.0,17.86,2.14,0.0
20230324:0009,0.0,0.0,0.0,17.81,2.07,0.0
20230324:0109,0.0,0.0,0.0,17.76,2.62,0.0
20230324:0209,0.0,0.0,0.0,17.7,3.17,0.0
20230324:0309,0.0,0.0,0.0,17.73,3.03,0.0
20230324:0409,0.0,0.0,0.0,17.73,2.48,0.0
20230324:0509,0.0,0.0,0.0,17.69,2.14,0.0
20230324:0609,0.0,0.0,0.0,17.65,2.07,0.0
20230324:0709,0.0,0.0,0.0,17.55,2.0,0.0
20230324:0809,686.95,202.5,13.18,17.62,2.28,0.0
20230324:0909,1873.45,471.52,26.18,17.76,2.28,0.0
20230324:1009,2914.1,726.73,38.68,18.13,2.9,0.0
20230324:1109,3672.6,931.9,50.08,18.11,2.97,0.0
20230324:1209,4196.85,1072.53,59.04,18.02,3.66,0.0
20230324:1309,4287.6,1094.53,62.94,17.97,4.0,0.0
20230324:1409,4099.1,1041.3,59.72,18.02,3.93,0.0
20230324:1509,3626.3,912.89,51.13,18.08,3.52,0.0
20230324:1609,2855.3,708.67,39.89,18.15,3.38,0.0
20230324:1709,1859.75,464.41,27.47,18.09,3.59,0.0
20230324:1809,708.7,203.57,14.51,18.01,3.79,0.0
20230324:1909,0.0,0.0,0.0,18.01,3.24,0.0
20230324:2009,0.0,0.0,0.0,18.2,2.76,0.0
20230324:2109,0.0,0.0,0.0,18.35,2.34,0.0
20230324:2209,0.0,0.0,0.0,18.25,2.97,0.0
20230324:2309,0.0,0.0,0.0,18.22,1.86,0.0
20230325:0009,0.0,0.0,0.0,18.26,1.31,0.0
20230325:0109,0.0,0.0,0.0,18.43,1.1,0.0
20230325:0209,0.0,0.0,0.0,18.67,0.97,0.0
